State,LGA,Name,Population,Longitude,Latitude
Western Australia,53430,Fremantle,36349,115.7661375,-32.05742523
Western Australia,53570,Gingin,6348,115.6991847,-31.19156662
Western Australia,53640,Gnowangerup,1271,118.2887525,-34.0621217
Western Australia,53710,Goomalling,992,116.7847583,-31.24282755
Western Australia,53780,Gosnells,141279,115.9921475,-32.06621838
Western Australia,53800,Greater Geraldton,42322,115.497159,-28.56153448
Western Australia,53920,Halls Creek,4213,127.6168044,-19.25809746
Western Australia,53990,Harvey,31495,115.9125063,-33.10109142
Western Australia,54060,Irwin,3864,115.0918219,-29.32602862
Western Australia,54130,Jerramungup,1217,119.1011888,-34.07058258
Western Australia,54170,Joondalup,173469,115.7667095,-31.78348465
Western Australia,54200,Kalamunda,63827,116.1227741,-32.01223167
Western Australia,54280,Kalgoorlie-Boulder,30991,125.051329,-30.74940817
Western Australia,54310,Karratha,24716,117.0360127,-21.04928372
Western Australia,54340,Katanning,4294,117.6842269,-33.64828696
Western Australia,54410,Kellerberrin,1159,117.8145362,-31.58233235
Western Australia,54480,Kent,526,118.5722459,-33.55081583
Western Australia,54550,Kojonup,1965,117.0480225,-33.90762314
Western Australia,54620,Kondinin,862,119.1848094,-32.42730359
Western Australia,54690,Koorda,373,117.4254718,-30.59047808
Western Australia,54760,Kulin,800,118.5761165,-32.7175066
Western Australia,54830,Kwinana,54672,115.8286728,-32.22767681
Western Australia,54900,Lake Grace,1319,119.2875387,-33.05988361
Western Australia,54970,Laverton,1444,125.4016742,-27.89110072
Western Australia,55040,Leonora,1737,121.1453758,-28.21231428
Western Australia,55110,Mandurah,102922,115.6829348,-32.63378256
Western Australia,55180,Manjimup,9523,116.325689,-34.55712676
Western Australia,55250,Meekatharra,1286,118.8640226,-25.14009678
Western Australia,55320,Melville,113404,115.8293989,-32.04743322
Western Australia,55390,Menzies,577,123.971107,-29.57509547
Western Australia,55460,Merredin,3335,118.3593591,-31.51531423
Western Australia,55530,Mingenew,421,115.4842599,-29.15818577
Western Australia,55600,Moora,2432,116.1854543,-30.49804477
Western Australia,55670,Morawa,686,116.0170978,-29.06690607
Western Australia,55740,Mosman Park,10281,115.7655565,-32.014791
Western Australia,55810,Mount Magnet,696,117.9764186,-28.23805208
Western Australia,55880,Mount Marshall,466,117.962188,-30.18375265
Western Australia,55950,Mukinbudin,603,118.3111461,-30.62994002
Western Australia,56090,Mundaring,42327,116.2516422,-31.89992339
